location,fault_severity,et,nbet,rt,nbrt,st,lf,nblf,svol,volmoy,volsd
l1103,2,e11xe15xe20xe6xe7xe8,6,r1xr2xr8,3,s1,f134xf172xf201xf219xf56xf80,6,13,2.16666666666667,1.60208197875972
l362,0,e11xe34xe35,3,r2xr8,2,s1,f160xf232xf312,3,3,1,0
l763,1,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,10,2.5,2.38047614284762
l994,0,e11,1,r8,1,s1,f73,1,1,1,0
l755,1,e11,1,r8,1,s1,f161xf45,2,2,1,0
l1100,2,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,221,55.25,68.0361423558587
l845,0,e11xe15,2,r8,1,s1,f82,1,21,21,0
l805,0,e11,1,r8,1,s2,f191xf70,2,5,2.5,2.12132034355964
l957,1,e54,1,r2,1,s4,f360xf362,2,4,2,0
l613,0,e11xe15,2,r8,1,s1,f203xf71xf82,3,36,12,12.7671453348037
l666,0,e11,1,r8,1,s1,f171xf55,2,16,8,0
l485,0,e34xe35,2,r2,1,s2,f232xf312,2,14,7,0
l760,0,e11,1,r8,1,s1,f170xf68,2,3,1.5,0.707106781186548
l812,0,e11,1,r8,1,s1,f101xf51,2,348,174,56.5685424949238
l923,0,e11,1,r8,1,s1,f195xf73,2,2,1,0
l505,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,143,23.8333333333333,19.4156294429685
l522,0,e34xe35,2,r2,1,s2,f232xf312,2,8,4,0
l802,0,e11xe13xe14xe22,4,r4xr6xr7xr8,4,s1,f118xf170xf179xf222xf273xf30xf304xf345xf54xf68,10,384,38.4,44.2698794014872
l657,0,e11xe18,2,r10xr8,2,s1,f170xf179xf257xf335xf54xf68,6,38,6.33333333333333,4.27395211328656
l962,2,e15,1,r8,1,s2,f203xf82,2,49,24.5,10.6066017177982
l344,1,e20,1,r2,1,s1,f219,1,1,1,0
l653,0,e11xe15,2,r8,1,s1,f201xf80xf82,3,22,7.33333333333333,9.29157324317757
l491,0,e34xe35,2,r2,1,s2,f235xf315,2,4,2,0
l978,0,e15xe54,2,r2xr8,2,s1,f71,1,1,1,0
l13,2,e11xe13xe18xe22xe23,5,r10xr6xr7xr8,4,s1,f118xf170xf179xf209xf222xf223xf248xf273xf30xf305xf306xf54xf68xf87,14,113,8.07142857142857,13.4648504559909
l839,0,e11,1,r8,1,s2,f68,1,2,2,0
l676,1,e11xe20,2,r2xr8,2,s1,f134xf171xf55,3,11,3.66666666666667,2.51661147842358
l126,0,e34xe35,2,r2,1,s2,f227xf232xf233xf235xf307xf312xf313xf315,8,121,15.125,15.9412985669299
l102,1,e34xe35,2,r2,1,s2,f228xf230xf232xf233xf235xf308xf310xf312,8,10,1.25,0.462910049886276
l195,1,e34xe35,2,r2,1,s2,f221xf301,2,3,1.5,0.707106781186548
l995,2,e11xe15,2,r8,1,s1,f71,1,2,2,0
l1086,1,e15,1,r8,1,s2,f203xf82,2,5,2.5,2.12132034355964
l921,1,e15,1,r8,1,s2,f203xf82,2,9,4.5,2.12132034355964
l943,1,e11,1,r8,1,s1,f54,1,1,1,0
l768,0,e11,1,r8,1,s2,f171xf55,2,6,3,1.4142135623731
l601,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,2,1,0
l891,0,e11,1,r8,1,s1,f195xf73,2,31,15.5,6.36396103067893
l497,0,e34xe35,2,r2,1,s2,f227xf228xf229xf230xf232xf233xf234xf236xf307xf308xf309xf310xf312xf313xf314xf315xf316,17,930,54.7058823529412,51.341704181253
l803,1,e11,1,r8,1,s1,f170xf54,2,28,14,1.4142135623731
l808,0,e11xe15,2,r8,1,s1,f193xf71,2,16,8,2.82842712474619
l95,0,e34xe35,2,r2,1,s2,f228xf308xf310,3,11,3.66666666666667,0.577350269189626
l488,0,e34xe35,2,r2,1,s2,f232xf312,2,53,26.5,4.94974746830583
l122,0,e34xe35,2,r2,1,s2,f233xf235xf312xf313,4,12,3,2.3094010767585
l1088,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,4,2,0
l305,0,e35,1,r2,1,s4,f312,1,1,1,0
l1025,0,e11,1,r8,1,s1,f188xf66,2,3,1.5,0.707106781186548
l477,0,e34xe35,2,r2,1,s2,f229xf234xf309xf312xf314,5,75,15,12.6293309403151
l793,0,e11xe24,2,r2xr8,2,s1,f195xf318xf73,3,27,9,10.5830052442584
l1050,0,e11xe13xe14xe20xe23,5,r2xr4xr6xr7xr8,5,s1,f134xf219xf273xf306xf68,5,5,1,0
l803,0,e11,1,r8,1,s2,f54,1,1,1,0
l466,0,e34xe35,2,r2,1,s2,f234xf314,2,86,43,5.65685424949238
l240,0,e34xe35,2,r2,1,s2,f232xf307xf312,3,3,1,0
l200,0,e20xe35,2,r2,1,s1,f134xf219xf301,3,4,1.33333333333333,0.577350269189626
l846,2,e11xe15,2,r8,1,s1,f203xf82,2,25,12.5,0.707106781186548
l653,2,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,260,65,76.0438470007052
l102,0,e20xe34xe35,3,r2,1,s1,f134xf219xf233xf234xf235xf314,6,6,1,0
l763,0,e15,1,r8,1,s2,f203xf82,2,22,11,4.24264068711928
l118,0,e34xe35,2,r2,1,s2,f232xf312,2,35,17.5,0.707106781186548
l1121,1,e20,1,r2,1,s1,f134xf219,2,2,1,0
l380,0,e34xe35,2,r2,1,s2,f232xf312,2,22,11,4.24264068711928
l724,1,e11xe32,2,r8,1,s1,f170xf280xf54,3,17,5.66666666666667,1.15470053837925
l738,0,e11,1,r8,1,s1,f74,1,1,1,0
l498,0,e34xe35,2,r2,1,s2,f233xf313,2,11,5.5,4.94974746830583
l381,0,e20xe35,2,r2,1,s1,f219xf301,2,2,1,0
l821,2,e11xe15,2,r8,1,s1,f71,1,5,5,0
l793,0,e11,1,r8,1,s1,f195xf73,2,75,37.5,14.8492424049175
l834,0,e15,1,r8,1,s2,f203xf82,2,21,10.5,7.77817459305202
l244,0,e34xe35,2,r2,1,s2,f232xf312,2,70,35,4.24264068711928
l704,0,e11xe15,2,r8,1,s1,f203xf82,2,39,19.5,3.53553390593274
l1098,1,e11,1,r8,1,s2,f207,1,1,1,0
l681,0,e11,1,r8,1,s1,f171xf55,2,16,8,0
l1006,0,e11,1,r8,1,s2,f170xf54,2,6,3,2.82842712474619
l1010,0,e11,1,r8,1,s2,f195xf73,2,2,1,0
l707,0,e11xe15xe26,3,r8xr9,2,s1,f193xf276xf71,3,9,3,3.46410161513775
l509,0,e34xe35,2,r2,1,s2,f232xf312xf314,3,13,4.33333333333333,4.04145188432738
l653,0,e11xe15,2,r8,1,s1,f82,1,10,10,0
l1067,1,e11,1,r8,1,s1,f170xf54,2,16,8,0
l505,0,e34xe35,2,r2,1,s2,f228xf229xf230xf231xf232xf233xf234xf235xf236xf308xf309xf310xf311xf312xf313xf314xf315xf316,18,414,23,26.4263682933632
l646,0,e11,1,r8,1,s1,f82,1,2,2,0
l821,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,49,12.25,9.322910847298
l91,0,e34xe35,2,r2,1,s2,f235xf315,2,249,124.5,60.1040764008565
l755,0,e11,1,r8,1,s1,f55,1,4,4,0
l744,0,e11xe13,2,r6xr8,2,s1,f179xf345xf68,3,5,1.66666666666667,1.15470053837925
l653,2,e11xe15,2,r8,1,s1,f183xf201xf203xf63xf80xf82,6,102,17,22.5831795812724
l798,2,e15,1,r8,1,s2,f203xf82,2,27,13.5,7.77817459305202
l181,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,33,5.5,2.50998007960223
l318,1,e34xe35,2,r2,1,s2,f232xf312,2,4,2,1.4142135623731
l809,0,e15,1,r8,1,s2,f193xf71,2,3,1.5,0.707106781186548
l1031,0,e11,1,r8,1,s1,f103xf170xf54,3,40,13.3333333333333,7.23417813807024
l839,1,e11,1,r8,1,s1,f170,1,1,1,0
l856,1,e11xe13,2,r6xr8,2,s1,f179xf273xf345xf68,4,4,1,0
l300,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312xf313,5,7,1.4,0.547722557505166
l122,0,e34xe35,2,r2,1,s2,f227xf232xf233xf235xf307xf312xf313xf315,8,49,6.125,2.64237447329913
l734,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,47,11.75,8.26135582092915
l157,0,e34xe35,2,r2,1,s2,f232xf312,2,24,12,0
l400,0,e34xe35,2,r2,1,s2,f227xf232xf312,3,6,2,1
l469,0,e34xe35,2,r2,1,s2,f232xf312xf313xf315,4,68,17,15.6418242755334
l157,0,e34xe35,2,r2,1,s2,f232xf312,2,9,4.5,0.707106781186548
l856,2,e11xe13xe14xe22,4,r4xr6xr7xr8,4,s1,f170xf222xf273xf304xf345xf54xf68,7,51,7.28571428571429,7.134757312254
l120,1,e34xe35,2,r2,1,s2,f232xf234xf312xf314,4,4,1,0
l1061,2,e15,1,r8,1,s2,f201xf203xf80xf82,4,25,6.25,7.27438428093173
l929,0,e20,1,r2,1,s1,f134,1,2,2,0
l931,0,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,21,5.25,4.7169905660283
l816,1,e11xe14xe23,3,r4xr7xr8,3,s1,f163xf223xf306xf47,4,11,2.75,1.70782512765993
l756,0,e11xe54,2,r2xr8,2,s1,f170xf54,2,18,9,1.4142135623731
l1117,0,e11,1,r8,1,s1,f171xf55xf68,3,4,1.33333333333333,0.577350269189626
l102,0,e35,1,r2,1,s4,f307xf312,2,2,1,0
l491,0,e34xe35,2,r2,1,s2,f235xf315,2,5,2.5,0.707106781186548
l797,1,e11,1,r8,1,s1,f170xf68,2,2,1,0
l899,0,e42xe44,2,r2,1,s1,f283xf291xf368xf376,4,4,1,0
l1097,1,e11,1,r8,1,s1,f68,1,1,1,0
l734,0,e11xe15,2,r8,1,s1,f80xf82,2,6,3,1.4142135623731
l821,0,e15,1,r8,1,s2,f193xf71,2,4,2,0
l793,0,e11,1,r8,1,s1,f195xf73,2,48,24,8.48528137423857
l5,0,e23,1,r7,1,s4,f306,1,2,2,0
l1033,1,e11,1,r8,1,s1,f170xf182xf207xf54xf62xf86,6,20,3.33333333333333,3.61478445646026
l479,0,e34xe35,2,r2,1,s2,f232xf312,2,6,3,0
l806,0,e23,1,r7,1,s4,f306,1,3,3,0
l984,0,e11xe13,2,r6xr8,2,s1,f179xf273xf345xf68,4,6,1.5,0.577350269189626
l1031,1,e11,1,r8,1,s1,f170xf54,2,3,1.5,0.707106781186548
l809,0,e15,1,r8,1,s2,f193xf71,2,2,1,0
l208,0,e34xe35,2,r2,1,s2,f232xf312,2,3,1.5,0.707106781186548
l696,1,e11,1,r8,1,s1,f170xf54,2,5,2.5,0.707106781186548
l130,0,e20xe35,2,r2,1,s1,f134xf301,2,2,1,0
l839,2,e11xe24,2,r2xr8,2,s1,f170xf239xf318xf54,4,26,6.5,1.73205080756888
l878,0,e11,1,r8,1,s2,f73,1,2,2,0
l95,0,e34xe35,2,r2,1,s2,f232xf312xf313,3,8,2.66666666666667,1.15470053837925
l7,0,e11,1,r8,1,s1,f191xf70,2,15,7.5,0.707106781186548
l523,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l989,2,e11,1,r8,1,s1,f170xf54,2,12,6,0
l92,0,e34,1,r2,1,s2,f227xf232,2,2,1,0
l95,1,e34xe35,2,r2,1,s2,f229xf309,2,4,2,0
l16,1,e11,1,r8,1,s1,f170xf54,2,2,1,0
l763,0,e11xe15,2,r8,1,s1,f203xf71xf82,3,14,4.66666666666667,3.78593889720018
l418,1,e34xe35,2,r2,1,s2,f221xf301,2,3,1.5,0.707106781186548
l707,0,e15,1,r8,1,s2,f193xf71,2,22,11,9.89949493661167
l1107,1,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,36,9,7.02376916856849
l834,1,e15,1,r8,1,s2,f193xf203xf71xf82,4,21,5.25,0.957427107756338
l79,1,e10xe20xe54,3,r2xr3,2,s1,f134xf154xf219xf39,4,4,1,0
l976,1,e15,1,r8,1,s2,f203xf80xf82,3,12,4,3.46410161513775
l406,1,e34xe35,2,r2,1,s2,f228xf229xf232xf234xf308xf309xf312xf314,8,8,1,0
l139,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,12,3,1.15470053837925
l459,0,e34xe35,2,r2,1,s2,f228xf230xf232xf233xf235xf312,6,8,1.33333333333333,0.516397779494322
l73,1,e10xe11xe28,3,r3xr8xr9,3,s1,f127xf150xf171xf35xf55,5,5,1,0
l793,0,e11,1,r8,1,s1,f195xf73,2,151,75.5,31.8198051533946
l600,2,e15,1,r8,1,s2,f203xf82,2,34,17,7.07106781186548
l707,0,e15xe26,2,r8xr9,2,s2,f193xf276xf349xf71,4,13,3.25,2.87228132326901
l613,1,e11xe15xe54,3,r8,1,s1,f193xf203xf71xf82,4,16,4,2.82842712474619
l831,1,e11,1,r8,1,s1,f87,1,3,3,0
l931,0,e15,1,r8,1,s2,f198xf201xf203xf68xf80xf82,6,8,1.33333333333333,0.516397779494322
l734,2,e11xe15,2,r8,1,s1,f193xf201xf203xf68xf71xf80xf82,7,170,24.2857142857143,26.7813012237661
l280,0,e34xe35,2,r2,1,s2,f233xf235xf312,3,3,1,0
l381,0,e20xe34xe35,3,r2,1,s1,f134xf219xf232xf301xf312,5,20,4,2.73861278752583
l794,0,e11xe14xe23,3,r4xr7xr8,3,s1,f163xf223xf306,3,3,1,0
l1099,1,e11,1,r8,1,s2,f202xf81,2,8,4,1.4142135623731
l1025,1,e11,1,r8,1,s1,f188xf196xf66xf74,4,4,1,0
l270,0,e34xe35,2,r2,1,s2,f234xf314,2,2,1,0
l1055,0,e11,1,r8,1,s1,f63,1,2,2,0
l313,0,e34xe35,2,r2,1,s2,f221xf232xf233xf235xf301xf312xf313xf315,8,12,1.5,0.925820099772551
l450,0,e34xe35,2,r2,1,s2,f232xf235xf236xf312xf315xf316,6,16,2.66666666666667,3.20416395751944
l1042,0,e15,1,r8,1,s2,f203xf82,2,32,16,5.65685424949238
l100,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,7,1.75,0.957427107756338
l468,0,e34xe35,2,r2,1,s2,f232xf312,2,16,8,0
l1100,2,e11xe15,2,r8,1,s1,f203xf82,2,93,46.5,33.2340187157677
l493,0,e34xe35,2,r2,1,s2,f230xf232xf234xf235xf310xf312xf314xf315xf316,9,42,4.66666666666667,1.93649167310371
l102,0,e34xe35,2,r2,1,s2,f228xf230xf232xf234xf308xf310xf312xf313xf314xf315,10,22,2.2,1.54919333848297
l613,1,e11xe15xe54,3,r8,1,s1,f193xf203xf71xf82,4,38,9.5,9
l723,0,e11,1,r8,1,s2,f68,1,1,1,0
l344,0,e35,1,r2,1,s4,f312,1,2,2,0
l1107,0,e15,1,r8,1,s2,f193xf71xf82,3,57,19,25.3574446662119
l126,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313xf315,7,39,5.57142857142857,4.1576092031015
l249,0,e34xe35,2,r2,1,s2,f232xf312,2,3,1.5,0.707106781186548
l277,0,e34xe35,2,r2,1,s2,f232xf307xf312,3,4,1.33333333333333,0.577350269189626
l817,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l125,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,10,2.5,1.29099444873581
l13,1,e13,1,r6,1,s1,f118xf273xf30,3,4,1.33333333333333,0.577350269189626
l1052,2,e15xe54,2,r2xr8,2,s1,f203xf80xf82,3,61,20.3333333333333,17.4737898961082
l882,0,e11,1,r8,1,s2,f171xf55,2,2,1,0
l100,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,15,3.75,1.5
l1107,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,71,17.75,15.7770930993852
l475,0,e34xe35,2,r2,1,s2,f234xf312xf314,3,11,3.66666666666667,4.61880215351701
l370,0,e35,1,r2,1,s4,f308xf310xf313xf315,4,6,1.5,0.577350269189626
l9,0,e11xe15,2,r8,1,s1,f108xf193xf71,3,234,78,92.0814856526544
l179,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,12,3,0.816496580927726
l989,1,e11,1,r8,1,s1,f170xf54,2,8,4,1.4142135623731
l147,0,e34xe35,2,r2,1,s2,f221xf227xf232xf233xf301xf307xf312xf313,8,30,3.75,2.60494036125864
l124,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,13,2.16666666666667,0.983192080250175
l496,0,e34xe35,2,r2,1,s2,f227xf229xf232xf233xf234xf307xf309xf312xf313xf314,10,439,43.9,59.5789858553799
l895,1,e42xe43xe44xe45,4,r2,1,s1,f283xf291xf293xf368xf375xf376,6,16,2.66666666666667,1.86189867250253
l737,1,e11,1,r8,1,s1,f157xf42,2,2,1,0
l893,1,e42xe43xe44xe45,4,r2,1,s1,f120xf124xf125xf283xf290xf291xf293xf368xf375xf376xf378,11,193,17.5454545454545,14.1517747039983
l599,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,34,8.5,9.25562891794321
l388,1,e20xe35,2,r2,1,s1,f134xf219xf301xf307xf312xf357xf358xf95,8,8,1,0
l484,0,e34xe35,2,r2,1,s2,f232xf235xf312,3,14,4.66666666666667,3.21455025366432
l1109,0,e11xe13,2,r6xr8,2,s1,f345xf54,2,4,2,0
l1056,1,e11xe13xe18,3,r10xr6xr8,3,s1,f251xf273xf331xf345xf68,5,6,1.2,0.447213595499958
l155,0,e34xe35,2,r2,1,s2,f232xf312,2,53,26.5,0.707106781186548
l584,0,e11,1,r8,1,s1,f195xf73,2,11,5.5,0.707106781186548
l1024,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l1086,1,e15,1,r8,1,s2,f203xf82,2,23,11.5,12.0208152801713
l472,0,e20xe35,2,r2,1,s1,f134xf219xf301xf307xf312,5,5,1,0
l102,1,e34xe35,2,r2,1,s2,f228xf230xf232xf233xf234xf235xf308xf310xf312xf314,10,52,5.2,5.18116246072679
l909,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,2,1,0
l809,0,e11xe15,2,r8,1,s1,f193xf71,2,5,2.5,0.707106781186548
l263,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l292,0,e35,1,r2,1,s4,f312xf313,2,5,2.5,0.707106781186548
l352,1,e11xe36,2,r2xr8,2,s1,f117xf181xf237xf29,4,8,2,0
l100,0,e34xe35,2,r2,1,s2,f227xf232xf307,3,27,9,6.2449979983984
l444,1,e20xe34xe35,3,r2,1,s1,f134xf219xf227xf232xf301xf307xf312,7,7,1,0
l103,0,e34,1,r2,1,s2,f227xf232,2,2,1,0
l1044,0,e11,1,r8,1,s1,f195xf73,2,2,1,0
l662,1,e11,1,r8,1,s1,f170xf54,2,8,4,1.4142135623731
l924,2,e11xe13xe14xe22,4,r4xr6xr7xr8,4,s1,f170xf222xf304xf345xf54,5,34,6.8,8.61394218694321
l157,0,e34xe35,2,r2,1,s2,f232xf312,2,19,9.5,0.707106781186548
l846,2,e15,1,r8,1,s2,f203xf82,2,50,25,5.65685424949238
l242,0,e34xe35,2,r2,1,s2,f232xf312,2,31,15.5,2.12132034355964
l653,1,e15,1,r8,1,s2,f201xf203xf80xf82,4,19,4.75,4.5
l1008,0,e15,1,r8,1,s2,f203xf82,2,64,32,5.65685424949238
l135,1,e34xe35,2,r2,1,s2,f232xf312,2,6,3,0
l292,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,10,2.5,1.73205080756888
l133,0,e34xe35,2,r2,1,s2,f233xf313xf315,3,11,3.66666666666667,2.3094010767585
l806,0,e11,1,r8,1,s1,f54,1,1,1,0
l821,2,e15,1,r8,1,s2,f203xf80xf82,3,20,6.66666666666667,7.37111479583199
l979,1,e11xe7,2,r1xr8,2,s1,f195xf73,2,4,2,1.4142135623731
l481,1,e34xe35,2,r2,1,s2,f228xf230xf232xf308xf310xf312xf314,7,89,12.7142857142857,10.4197614450346
l673,0,e11,1,r8,1,s1,f171xf55,2,4,2,0
l849,0,e11,1,r8,1,s1,f195,1,2,2,0
l821,1,e11xe15xe54,3,r2xr8,2,s1,f193xf201xf203xf71xf80xf82,6,51,8.5,11.0950439386241
l995,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,57,14.25,10.5948100502085
l400,0,e35,1,r2,1,s4,f301,1,1,1,0
l808,0,e11xe15,2,r8,1,s1,f168xf193xf52xf71,4,14,3.5,2.51661147842358
l996,0,e15,1,r8,1,s2,f80,1,2,2,0
l145,0,e20xe35,2,r2,1,s1,f134xf219xf301,3,3,1,0
l266,0,e21xe35,2,r2,1,s1,f135xf220xf301,3,3,1,0
l519,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,14,2.33333333333333,1.75119007154183
l288,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l879,0,e11,1,r8,1,s1,f195xf73,2,3,1.5,0.707106781186548
l758,1,e11,1,r8,1,s1,f54,1,1,1,0
l691,0,e11xe23,2,r7xr8,2,s2,f306xf75,2,13,6.5,2.12132034355964
l915,0,e11,1,r8,1,s1,f170xf54,2,2,1,0
l902,0,e11xe13xe22xe23,4,r6xr7xr8,3,s1,f170xf222xf273xf306xf345xf54xf75,7,9,1.28571428571429,0.487950036474267
l763,2,e15,1,r8,1,s2,f203xf71xf82,3,13,4.33333333333333,2.08166599946613
l1063,0,e11,1,r8,1,s1,f109xf195xf73,3,65,21.6666666666667,18.5831464863551
l661,0,e11,1,r8,1,s1,f170xf54,2,4,2,0
l380,0,e34xe35,2,r2,1,s2,f232xf312,2,25,12.5,0.707106781186548
l798,1,e15,1,r8,1,s2,f203xf82,2,35,17.5,17.6776695296637
l131,1,e34,1,r2,1,s2,f227xf232,2,2,1,0
l1052,1,e15,1,r8,1,s2,f203xf80xf82,3,7,2.33333333333333,1.52752523165195
l924,2,e11xe13xe14xe22,4,r4xr6xr7xr8,4,s1,f170xf222xf273xf304xf345xf54,6,45,7.5,10.0747208398049
l137,0,e34xe35,2,r2,1,s2,f232xf233xf307xf312xf313,5,11,2.2,1.6431676725155
l466,0,e34xe35,2,r2,1,s2,f234xf314,2,108,54,2.82842712474619
l208,1,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,28,4.66666666666667,5.27888877195444
l518,0,e35,1,r2,1,s4,f313xf315,2,6,3,1.4142135623731
l983,1,e11,1,r8,1,s1,f80,1,1,1,0
l175,0,e20xe34xe35,3,r2,1,s1,f134xf221xf301,3,3,1,0
l821,1,e11xe15,2,r8,1,s1,f196xf203xf74xf82,4,23,5.75,5.18812747209113
l683,0,e20,1,r2,1,s1,f134,1,1,1,0
l471,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313xf315,5,23,4.6,1.81659021245849
l998,2,e11,1,r8,1,s1,f68,1,1,1,0
l465,0,e34xe35,2,r2,1,s2,f232xf312,2,49,24.5,0.707106781186548
l1026,1,e11xe14,2,r4xr8,2,s2,f170xf68,2,2,1,0
l528,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l521,0,e34xe35,2,r2,1,s2,f232xf312,2,13,6.5,0.707106781186548
l883,1,e11,1,r8,1,s1,f54,1,1,1,0
l166,0,e35,1,r2,1,s4,f312,1,1,1,0
l995,2,e11xe15,2,r8,1,s1,f203xf71xf82,3,19,6.33333333333333,5.5075705472861
l488,0,e34xe35,2,r2,1,s2,f232xf312,2,53,26.5,9.19238815542512
l984,2,e11xe13xe14,3,r4xr6xr8,3,s1,f170xf210xf273xf54xf68,5,8,1.6,0.894427190999916
l495,0,e34xe35,2,r2,1,s2,f232xf312,2,18,9,1.4142135623731
l798,2,e15,1,r8,1,s2,f203xf82,2,45,22.5,20.5060966544099
l1005,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l526,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,8,2,0.816496580927726
l242,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,429,71.5,19.4190627992187
l1026,0,e11xe13,2,r6xr8,2,s1,f273xf68,2,4,2,0
l276,0,e35,1,r2,1,s4,f312,1,2,2,0
l243,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,6,1,0
l175,1,e20xe35,2,r2,1,s1,f134xf219xf301xf312,4,5,1.25,0.5
l155,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,17,4.25,4.27200187265877
l536,1,e11xe54,2,r2xr8,2,s1,f167xf51,2,2,1,0
l244,0,e34xe35,2,r2,1,s2,f232xf312,2,47,23.5,2.12132034355964
l1060,0,e11,1,r8,1,s2,f195xf68,2,2,1,0
l823,0,e15,1,r8,1,s2,f193xf71,2,6,3,1.4142135623731
l272,0,e34xe35,2,r2,1,s2,f233xf313xf315,3,3,1,0
l1019,2,e15,1,r8,1,s2,f203xf82,2,96,48,25.4558441227157
l272,0,e35,1,r2,1,s4,f312xf313xf315,3,3,1,0
l1084,1,e11,1,r8,1,s1,f170xf54,2,6,3,1.4142135623731
l1050,2,e11xe13xe14,3,r4xr6xr8,3,s1,f170xf179xf273xf345xf54xf68,6,40,6.66666666666667,7.25718035235908
l157,0,e34xe35,2,r2,1,s2,f232xf312,2,8,4,0
l714,1,e11xe13,2,r6xr8,2,s1,f170xf273xf345xf54xf68,5,15,3,1.87082869338697
l181,0,e35,1,r2,1,s4,f312xf313,2,3,1.5,0.707106781186548
l758,1,e11,1,r8,1,s1,f170xf68,2,4,2,0
l330,1,e20xe35,2,r2,1,s1,f134xf219xf301,3,3,1,0
l1055,0,e11xe15,2,r8,1,s1,f193xf198xf71xf76,4,42,10.5,5.8022983951764
l1019,2,e15,1,r8,1,s2,f203xf82,2,14,7,4.24264068711928
l1067,1,e11,1,r8,1,s1,f170,1,3,3,0
l116,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,8,2,0
l1091,1,e11xe13xe18,3,r10xr6xr8,3,s1,f265xf273xf68,3,4,1.33333333333333,0.577350269189626
l745,2,e11xe13xe14xe20xe22xe23,6,r2xr4xr6xr7xr8,5,s1,f134xf170xf219xf222xf223xf273xf306xf345xf54,9,14,1.55555555555556,1.33333333333333
l270,1,e34xe35,2,r2,1,s2,f228xf308,2,4,2,0
l810,2,e15xe54,2,r8,1,s1,f203xf82,2,14,7,1.4142135623731
l1048,0,e11,1,r8,1,s2,f170xf54,2,3,1.5,0.707106781186548
l378,0,e34xe35,2,r2,1,s2,f232xf312,2,6,3,1.4142135623731
l972,1,e11,1,r8,1,s1,f209xf87,2,2,1,0
l834,0,e15,1,r8,1,s2,f203xf82,2,12,6,0
l810,2,e15xe54,2,r8,1,s1,f193xf203xf71xf82,4,49,12.25,12.6589889011722
l798,2,e15,1,r8,1,s2,f203xf82,2,8,4,0
l744,0,e11xe13,2,r6xr8,2,s1,f170xf273xf345xf54,4,8,2,0
l244,0,e34xe35,2,r2,1,s2,f232xf312,2,10,5,0
l994,0,e11,1,r8,1,s1,f195xf73,2,2,1,0
l1030,0,e11,1,r8,1,s4,f68,1,2,2,0
l734,2,e11xe15,2,r8,1,s1,f196xf203xf71xf74xf82,5,71,14.2,18.088670487352
l208,1,e21xe35,2,r2,1,s1,f135xf220xf301xf307xf312,5,5,1,0
l1100,1,e11xe15,2,r8,1,s1,f198xf76,2,6,3,1.4142135623731
l795,0,e15,1,r8,1,s2,f101xf167xf51,3,193,64.3333333333333,67.3003219407852
l712,0,e11xe15,2,r8,1,s1,f201xf80,2,4,2,0
l1052,0,e15xe54,2,r2xr8,2,s1,f82,1,7,7,0
l991,2,e11,1,r8,1,s1,f155xf170xf182xf209,4,45,11.25,8.18026079453868
l960,1,e11xe13xe14xe20xe22xe23,6,r2xr4xr6xr7xr8,5,s1,f134xf170xf219xf222xf273xf304xf306xf345xf54,9,42,4.66666666666667,5.65685424949238
