"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"1707","location 505","0","severity_type 2",2,2,61,57,1,"feature 312","feature 232",118,2.82842712474619
"1709","location 1081","0","severity_type 1",2,2,2,1,1,"feature 167","feature 51",3,0.707106781186548
"1712","location 443","1","severity_type 2",2,4,1,1,1,"feature 232","feature 232",4,0
"1714","location 518","0","severity_type 2",2,4,2,1,1,"feature 315","feature 233",6,0.577350269189626
"1716","location 1008","1","severity_type 2",1,4,35,1,1,"feature 82","feature 201",45,15.9661099415815
"1718","location 1008","1","severity_type 2",1,3,11,1,1,"feature 82","feature 80",14,5.5075705472861
"1724","location 534","0","severity_type 5",1,2,2,2,1,"feature 153","feature 153",4,0
"1729","location 462","0","severity_type 1",4,8,2,1,2,"feature 301","feature 134",11,0.517549169506766
"1730","location 1110","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"1732","location 810","2","severity_type 1",3,4,21,4,2,"feature 82","feature 219",46,8.81286937760152
"1735","location 934","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"1739","location 365","1","severity_type 2",2,2,2,2,1,"feature 312","feature 312",4,0
"1740","location 476","0","severity_type 2",2,6,34,4,1,"feature 314","feature 312",94,12.6912043032435
"1742","location 507","0","severity_type 2",2,3,11,3,1,"feature 312","feature 232",17,4.61880215351701
"1743","location 794","1","severity_type 1",3,3,2,1,3,"feature 163","feature 223",4,0.577350269189626
"1745","location 734","1","severity_type 1",2,5,16,1,1,"feature 82","feature 80",29,5.89067059000926
"1746","location 821","2","severity_type 1",3,6,26,4,2,"feature 82","feature 198",60,8.12403840463596
"1749","location 641","1","severity_type 1",1,2,2,1,1,"feature 374","feature 289",3,0.707106781186548
"1751","location 857","1","severity_type 1",1,2,1,1,1,"feature 68","feature 68",2,0
"1752","location 287","0","severity_type 2",1,2,1,1,1,"feature 227","feature 227",2,0
"1754","location 423","1","severity_type 1",1,1,1,1,1,"feature 181","feature 181",1,NA
"1759","location 769","0","severity_type 1",1,2,2,1,1,"feature 170","feature 54",3,0.707106781186548
"1762","location 1053","1","severity_type 1",2,3,2,1,1,"feature 172","feature 68",4,0.577350269189626
"1764","location 345","0","severity_type 2",2,4,3,1,1,"feature 312","feature 301",7,0.957427107756338
"1767","location 239","0","severity_type 2",2,2,5,4,1,"feature 312","feature 232",9,0.707106781186548
"1768","location 943","1","severity_type 1",1,2,2,1,1,"feature 54","feature 170",3,0.707106781186548
"1770","location 1063","1","severity_type 1",1,1,1,1,1,"feature 202","feature 202",1,NA
"1771","location 864","2","severity_type 1",1,2,4,4,1,"feature 170","feature 170",8,0
"1773","location 957","1","severity_type 1",2,4,3,1,2,"feature 81","feature 55",7,0.957427107756338
"1776","location 798","1","severity_type 2",1,2,22,2,1,"feature 82","feature 203",24,14.142135623731
"1777","location 506","0","severity_type 2",2,2,108,104,1,"feature 312","feature 232",212,2.82842712474619
"1778","location 667","2","severity_type 1",1,2,8,8,1,"feature 171","feature 171",16,0
"1779","location 202","0","severity_type 2",2,4,3,1,1,"feature 232","feature 227",10,1
"1782","location 1086","2","severity_type 2",1,2,24,19,1,"feature 82","feature 203",43,3.53553390593274
"1787","location 599","2","severity_type 2",1,2,14,9,1,"feature 82","feature 203",23,3.53553390593274
"1789","location 103","0","severity_type 2",2,3,2,1,1,"feature 232","feature 309",5,0.577350269189626
"1790","location 148","0","severity_type 2",1,2,1,1,1,"feature 227","feature 227",2,0
"1792","location 255","0","severity_type 4",1,1,2,2,1,"feature 312","feature 312",2,NA
"1793","location 1107","2","severity_type 1",2,4,57,8,1,"feature 82","feature 193",108,22.6715680975093
"1795","location 805","0","severity_type 1",2,3,1,1,2,"feature 70","feature 70",3,0
"1798","location 154","1","severity_type 2",2,2,2,1,1,"feature 301","feature 221",3,0.707106781186548
"1802","location 763","1","severity_type 2",1,2,2,1,1,"feature 82","feature 203",3,0.707106781186548
"1803","location 1023","0","severity_type 2",1,1,2,2,1,"feature 73","feature 73",2,NA
"1805","location 118","0","severity_type 2",2,2,19,14,1,"feature 312","feature 232",33,3.53553390593274
"1806","location 793","0","severity_type 1",1,2,6,5,1,"feature 195","feature 73",11,0.707106781186548
"1809","location 291","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"1810","location 102","0","severity_type 2",2,14,4,1,1,"feature 312","feature 308",22,1.08940955880384
"1813","location 607","0","severity_type 2",2,2,3,1,2,"feature 46","feature 162",4,1.4142135623731
"1814","location 894","0","severity_type 1",3,6,6,1,1,"feature 368","feature 290",26,2.25092573548455
"1816","location 1083","1","severity_type 1",1,3,2,1,1,"feature 68","feature 54",5,0.577350269189626
"1817","location 466","0","severity_type 2",2,2,2,2,1,"feature 234","feature 234",4,0
"1822","location 1052","1","severity_type 1",2,6,64,1,1,"feature 82","feature 71",179,26.1412828045348
"1824","location 800","0","severity_type 1",1,2,1,1,1,"feature 73","feature 73",2,0
"1828","location 664","0","severity_type 1",1,2,1,1,1,"feature 55","feature 55",2,0
"1829","location 240","0","severity_type 4",1,2,2,2,1,"feature 307","feature 307",4,0
"1832","location 755","0","severity_type 1",1,1,1,1,1,"feature 161","feature 161",1,NA
"1834","location 126","0","severity_type 2",2,7,7,2,1,"feature 233","feature 307",32,1.90237946242268
"1835","location 802","1","severity_type 1",3,4,3,2,3,"feature 68","feature 338",10,0.577350269189626
"1839","location 9","0","severity_type 2",2,1,2,2,2,"feature 71","feature 71",2,NA
"1842","location 744","1","severity_type 2",1,2,1,1,1,"feature 170","feature 170",2,0
"1847","location 477","0","severity_type 2",2,2,61,58,1,"feature 232","feature 312",119,2.12132034355964
"1849","location 1","0","severity_type 2",1,1,2,2,1,"feature 82","feature 82",2,NA
"1852","location 794","0","severity_type 1",4,5,3,1,4,"feature 306","feature 134",9,0.836660026534076
"1854","location 467","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"1855","location 662","1","severity_type 1",1,4,19,2,1,"feature 54","feature 83",42,9.81495457622364
"1856","location 783","0","severity_type 1",1,2,2,2,1,"feature 134","feature 134",4,0
"1858","location 1050","1","severity_type 1",2,5,12,1,2,"feature 68","feature 118",17,4.82700735445887
"1861","location 627","1","severity_type 1",2,2,4,2,2,"feature 197","feature 223",6,1.4142135623731
"1864","location 1107","2","severity_type 1",2,4,123,10,1,"feature 82","feature 193",170,53.8918670425634
"1865","location 763","1","severity_type 2",1,2,22,17,1,"feature 82","feature 203",39,3.53553390593274
"1867","location 242","0","severity_type 2",2,6,54,25,1,"feature 312","feature 314",247,12.576432986609
"1872","location 576","0","severity_type 1",1,2,8,1,1,"feature 55","feature 84",9,4.94974746830583
"1873","location 704","2","severity_type 1",2,3,10,1,1,"feature 82","feature 172",15,4.58257569495584
"1874","location 314","1","severity_type 2",2,4,5,1,1,"feature 233","feature 232",12,2.3094010767585
"1876","location 891","0","severity_type 2",1,3,3,1,1,"feature 73","feature 55",6,1
"1877","location 837","0","severity_type 1",2,6,12,3,2,"feature 68","feature 179",43,2.92688685580203
"1878","location 884","0","severity_type 1",1,2,8,2,1,"feature 54","feature 170",10,4.24264068711928
"1882","location 846","1","severity_type 1",2,5,9,1,1,"feature 82","feature 80",20,3.39116499156263
"1887","location 326","1","severity_type 2",2,2,2,2,1,"feature 228","feature 228",4,0
"1892","location 309","0","severity_type 4",1,1,2,2,1,"feature 312","feature 312",2,NA
"1899","location 1115","0","severity_type 1",2,3,14,1,2,"feature 73","feature 135",29,7.50555349946513
"1902","location 1113","1","severity_type 1",1,1,2,2,1,"feature 54","feature 54",2,NA
"1904","location 892","0","severity_type 2",1,2,211,3,1,"feature 292","feature 377",214,147.078210486802
"1907","location 957","0","severity_type 1",1,1,2,2,1,"feature 55","feature 55",2,NA
"1908","location 653","0","severity_type 1",2,2,15,13,1,"feature 201","feature 80",28,1.4142135623731
"1909","location 846","2","severity_type 1",2,2,10,8,1,"feature 203","feature 82",18,1.4142135623731
"1910","location 403","1","severity_type 2",1,1,1,1,1,"feature 232","feature 232",1,NA
"1914","location 135","0","severity_type 2",2,4,6,1,1,"feature 312","feature 233",14,2.88675134594813
"1915","location 794","0","severity_type 1",3,3,3,2,3,"feature 306","feature 163",7,0.577350269189626
"1916","location 91","0","severity_type 2",2,8,323,1,1,"feature 235","feature 313",633,143.557293191852
"1921","location 508","0","severity_type 2",2,13,52,1,1,"feature 312","feature 316",179,16.1408067030629
"1936","location 298","0","severity_type 2",2,5,27,1,1,"feature 232","feature 307",56,13.1034346642398
"1937","location 128","0","severity_type 2",2,3,2,1,1,"feature 313","feature 312",4,0.577350269189626
"1941","location 808","0","severity_type 2",1,1,1,1,1,"feature 71","feature 71",1,NA
"1942","location 640","0","severity_type 4",1,1,2,2,1,"feature 374","feature 374",2,NA
"1946","location 1033","1","severity_type 1",1,1,3,3,1,"feature 87","feature 87",3,NA
"1947","location 1100","2","severity_type 1",2,7,55,3,1,"feature 82","feature 193",174,19.0912595309003
"1948","location 443","0","severity_type 2",2,4,3,1,1,"feature 312","feature 307",7,0.957427107756338
"1952","location 546","0","severity_type 1",1,2,1,1,1,"feature 135","feature 135",2,0
"1954","location 418","0","severity_type 4",1,1,5,5,1,"feature 301","feature 301",5,NA
"1959","location 248","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"1964","location 1111","0","severity_type 2",1,1,1,1,1,"feature 54","feature 54",1,NA
"1965","location 664","0","severity_type 1",1,2,8,6,1,"feature 55","feature 171",14,1.4142135623731
"1967","location 203","0","severity_type 2",2,4,1,1,1,"feature 227","feature 227",4,0
"1971","location 79","1","severity_type 1",4,5,4,1,3,"feature 212","feature 240",9,1.30384048104053
"1972","location 922","1","severity_type 1",2,3,1,1,1,"feature 220","feature 220",3,0
"1974","location 1037","0","severity_type 2",1,1,1,1,1,"feature 68","feature 68",1,NA
"1976","location 460","0","severity_type 2",2,6,3,1,1,"feature 312","feature 232",12,0.632455532033676
"1977","location 184","0","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"1979","location 244","0","severity_type 2",2,2,32,32,1,"feature 312","feature 312",64,0
"1980","location 641","1","severity_type 1",2,4,6,1,1,"feature 376","feature 291",14,2.88675134594813
"1981","location 600","1","severity_type 2",1,2,11,5,1,"feature 82","feature 203",16,4.24264068711928
"1988","location 825","1","severity_type 2",1,2,2,1,1,"feature 80","feature 201",3,0.707106781186548
"1991","location 354","1","severity_type 2",2,4,1,1,1,"feature 307","feature 307",4,0
"1993","location 963","0","severity_type 1",1,2,8,2,1,"feature 73","feature 195",10,4.24264068711928
"1996","location 808","0","severity_type 1",1,1,1,1,1,"feature 68","feature 68",1,NA
"1997","location 1100","2","severity_type 1",2,2,31,11,1,"feature 82","feature 203",42,14.142135623731
"1999","location 600","0","severity_type 2",1,1,20,20,1,"feature 82","feature 82",20,NA
"2000","location 505","0","severity_type 2",2,2,45,44,1,"feature 312","feature 232",89,0.707106781186548
"2001","location 478","0","severity_type 2",2,2,2,1,1,"feature 314","feature 234",3,0.707106781186548
"2007","location 355","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"2008","location 1007","0","severity_type 1",2,2,7,5,1,"feature 80","feature 201",12,1.4142135623731
"2010","location 808","0","severity_type 1",2,2,9,5,1,"feature 71","feature 193",14,2.82842712474619
"2012","location 477","0","severity_type 2",1,2,2,2,1,"feature 229","feature 229",4,0
"2015","location 944","0","severity_type 4",1,1,3,3,1,"feature 280","feature 280",3,NA
"2017","location 1038","1","severity_type 1",1,2,3,1,1,"feature 170","feature 54",4,1.4142135623731
"2019","location 945","0","severity_type 2",1,2,2,2,1,"feature 202","feature 202",4,0
"2021","location 1072","0","severity_type 1",1,2,1,1,1,"feature 191","feature 191",2,0
"2026","location 1054","1","severity_type 2",1,2,2,1,1,"feature 65","feature 187",3,0.707106781186548
"2028","location 645","0","severity_type 1",1,1,1,1,1,"feature 289","feature 289",1,NA
"2030","location 925","0","severity_type 1",1,3,117,2,1,"feature 54","feature 68",157,58.8245980295092
"2038","location 324","0","severity_type 2",2,9,1,1,1,"feature 228","feature 228",9,0
"2041","location 759","0","severity_type 1",1,1,1,1,1,"feature 182","feature 182",1,NA
"2054","location 147","0","severity_type 2",2,6,2,1,1,"feature 313","feature 233",11,0.408248290463863
"2055","location 1056","0","severity_type 1",3,5,5,1,3,"feature 54","feature 345",13,1.67332005306815
"2057","location 126","0","severity_type 2",2,8,13,1,1,"feature 233","feature 227",55,4.15546112277051
"2058","location 1051","0","severity_type 4",1,1,2,2,1,"feature 54","feature 54",2,NA
"2064","location 459","0","severity_type 2",2,11,2,1,1,"feature 310","feature 229",13,0.404519917477945
"2066","location 495","0","severity_type 2",2,2,26,16,1,"feature 312","feature 232",42,7.07106781186548
"2067","location 1018","0","severity_type 1",2,1,6,6,1,"feature 80","feature 80",6,NA
"2068","location 735","0","severity_type 1",1,2,3,1,1,"feature 70","feature 191",4,1.4142135623731
"2070","location 808","0","severity_type 1",1,2,1,1,1,"feature 193","feature 193",2,0
"2074","location 507","0","severity_type 2",2,2,17,16,1,"feature 312","feature 232",33,0.707106781186548
"2077","location 518","0","severity_type 2",2,6,11,2,1,"feature 315","feature 232",38,3.82970843102535
"2082","location 1099","2","severity_type 1",1,4,17,1,1,"feature 81","feature 49",32,7.78888096369861
"2088","location 844","2","severity_type 1",1,3,7,1,1,"feature 54","feature 87",9,3.46410161513775
"2092","location 117","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"2096","location 135","0","severity_type 2",2,2,15,15,1,"feature 312","feature 312",30,0
"2097","location 745","2","severity_type 1",3,4,10,2,3,"feature 170","feature 273",23,4.3493294502333
"2099","location 897","0","severity_type 4",4,4,3,1,1,"feature 374","feature 376",6,1
"2100","location 1042","1","severity_type 1",2,4,8,1,1,"feature 82","feature 80",14,3.1091263510296
"2103","location 1075","1","severity_type 2",1,2,18,2,1,"feature 82","feature 203",20,11.3137084989848
"2105","location 234","0","severity_type 2",2,3,1,1,2,"feature 307","feature 307",3,0
"2113","location 460","1","severity_type 1",3,6,6,1,1,"feature 312","feature 219",11,2.04124145231932
"2114","location 821","1","severity_type 1",3,7,28,2,2,"feature 82","feature 201",53,9.21696159004587
"2117","location 963","0","severity_type 1",1,2,3,2,1,"feature 195","feature 73",5,0.707106781186548
"2118","location 379","0","severity_type 2",2,4,2,1,1,"feature 312","feature 307",6,0.577350269189626
"2123","location 989","1","severity_type 1",2,3,4,1,1,"feature 68","feature 1",6,1.73205080756888
"2125","location 603","1","severity_type 1",1,3,4,2,1,"feature 170","feature 68",8,1.15470053837925
"2134","location 915","1","severity_type 1",1,2,1,1,1,"feature 207","feature 207",2,0
"2135","location 867","2","severity_type 1",1,5,19,1,1,"feature 170","feature 182",25,7.84219357067906
"2136","location 600","0","severity_type 1",2,1,34,34,1,"feature 82","feature 82",34,NA
"2137","location 600","2","severity_type 2",1,2,28,4,1,"feature 82","feature 203",32,16.9705627484771
"2138","location 509","0","severity_type 2",2,2,11,7,1,"feature 312","feature 232",18,2.82842712474619
"2139","location 505","0","severity_type 2",2,6,125,2,1,"feature 232","feature 235",247,55.5892675492911
"2141","location 957","1","severity_type 1",1,2,7,5,1,"feature 81","feature 202",12,1.4142135623731
"2143","location 794","0","severity_type 1",2,2,2,1,2,"feature 163","feature 47",3,0.707106781186548
"2144","location 204","0","severity_type 2",2,6,1,1,1,"feature 232","feature 232",6,0
"2145","location 466","0","severity_type 2",2,2,64,62,1,"feature 234","feature 314",126,1.4142135623731
"2147","location 976","2","severity_type 1",2,2,8,7,1,"feature 203","feature 82",15,0.707106781186548
"2148","location 613","1","severity_type 1",2,2,10,3,1,"feature 82","feature 203",13,4.94974746830583
"2151","location 305","0","severity_type 2",2,3,1,1,1,"feature 312","feature 312",3,0
"2155","location 155","0","severity_type 2",2,4,17,1,1,"feature 232","feature 227",35,8.95823643358446
"2157","location 1050","1","severity_type 1",4,5,2,1,3,"feature 75","feature 222",8,0.547722557505166
"2159","location 693","0","severity_type 1",1,2,1,1,1,"feature 182","feature 182",2,0
"2164","location 691","1","severity_type 2",2,3,2,1,2,"feature 75","feature 223",4,0.577350269189626
"2166","location 707","0","severity_type 2",1,1,4,4,1,"feature 71","feature 71",4,NA
"2169","location 737","1","severity_type 1",1,2,2,2,1,"feature 42","feature 42",4,0
"2170","location 931","2","severity_type 2",1,4,3,1,1,"feature 82","feature 80",8,1.15470053837925
"2174","location 808","0","severity_type 1",2,2,7,3,1,"feature 71","feature 193",10,2.82842712474619
"2177","location 1107","1","severity_type 1",2,4,45,8,1,"feature 71","feature 203",100,19.2700112437262
"2180","location 12","1","severity_type 1",2,2,2,1,2,"feature 66","feature 188",3,0.707106781186548
"2183","location 7","1","severity_type 1",1,2,16,10,1,"feature 70","feature 191",26,4.24264068711928
"2184","location 1014","0","severity_type 1",3,8,8,1,3,"feature 170","feature 345",27,2.87538817255291
"2186","location 480","0","severity_type 2",2,4,26,23,1,"feature 230","feature 308",97,1.5
"2187","location 738","1","severity_type 2",1,2,2,1,1,"feature 71","feature 193",3,0.707106781186548
"2190","location 734","2","severity_type 1",3,4,28,2,2,"feature 82","feature 193",46,11.6189500386223
"2192","location 240","0","severity_type 2",2,4,6,2,1,"feature 313","feature 232",17,2.06155281280883
"2197","location 916","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"2199","location 161","0","severity_type 2",2,2,3,3,1,"feature 312","feature 312",6,0
"2200","location 476","0","severity_type 2",2,6,51,1,1,"feature 314","feature 233",127,19.589963416675
"2205","location 1076","0","severity_type 2",1,1,1,1,1,"feature 80","feature 80",1,NA
"2208","location 1086","2","severity_type 2",1,2,8,5,1,"feature 82","feature 203",13,2.12132034355964
"2209","location 963","0","severity_type 1",1,3,28,9,1,"feature 73","feature 195",59,9.71253485622231
"2214","location 1008","1","severity_type 2",1,3,10,1,1,"feature 82","feature 80",13,4.93288286231625
"2217","location 793","0","severity_type 1",1,2,25,9,1,"feature 73","feature 195",34,11.3137084989848
"2219","location 1038","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"2220","location 818","1","severity_type 1",1,2,7,7,1,"feature 54","feature 54",14,0
"2221","location 1061","0","severity_type 2",1,1,2,2,1,"feature 82","feature 82",2,NA
"2224","location 1099","1","severity_type 1",1,2,12,9,1,"feature 171","feature 55",21,2.12132034355964
"2229","location 166","0","severity_type 4",1,3,1,1,1,"feature 312","feature 312",3,0
"2233","location 839","1","severity_type 1",1,1,3,3,1,"feature 170","feature 170",3,NA
"2235","location 584","0","severity_type 1",1,1,5,5,1,"feature 73","feature 73",5,NA
"2237","location 135","0","severity_type 2",2,2,26,26,1,"feature 232","feature 232",52,0
"2239","location 638","0","severity_type 1",1,2,1,1,1,"feature 374","feature 374",2,0
"2240","location 10","0","severity_type 1",1,2,10,10,1,"feature 167","feature 167",20,0
"2241","location 470","0","severity_type 2",1,2,2,1,1,"feature 181","feature 44",3,0.707106781186548
"2242","location 124","0","severity_type 2",2,8,5,1,1,"feature 233","feature 227",23,1.45773797371133
"2250","location 1","0","severity_type 1",2,2,3,2,1,"feature 193","feature 71",5,0.707106781186548
"2251","location 330","0","severity_type 4",1,3,1,1,1,"feature 313","feature 313",3,0
"2253","location 478","0","severity_type 2",2,8,25,1,1,"feature 314","feature 228",88,8.28078671210825
"2258","location 767","1","severity_type 1",2,4,1,1,2,"feature 68","feature 68",4,0
"2259","location 244","0","severity_type 2",2,2,36,36,1,"feature 312","feature 312",72,0
"2266","location 704","1","severity_type 1",3,8,42,1,2,"feature 203","feature 134",88,18.2287057764866
"2268","location 1067","1","severity_type 1",1,1,1,1,1,"feature 170","feature 170",1,NA
"2269","location 814","0","severity_type 1",1,2,7,5,1,"feature 70","feature 191",12,1.4142135623731
"2272","location 496","0","severity_type 2",2,6,24,1,1,"feature 232","feature 307",53,11.373946837693
"2273","location 814","0","severity_type 1",1,2,15,13,1,"feature 70","feature 191",28,1.4142135623731
"2274","location 1034","0","severity_type 1",1,2,6,3,1,"feature 54","feature 170",9,2.12132034355964
"2275","location 144","1","severity_type 2",2,4,1,1,1,"feature 232","feature 232",4,0
"2277","location 836","0","severity_type 1",1,1,4,4,1,"feature 73","feature 73",4,NA
"2281","location 1097","1","severity_type 2",1,2,1,1,1,"feature 170","feature 170",2,0
"2282","location 704","2","severity_type 1",2,3,14,2,1,"feature 82","feature 71",22,6.11010092660779
"2284","location 795","0","severity_type 2",1,2,240,69,1,"feature 51","feature 101",309,120.9152595829
"2285","location 738","0","severity_type 1",2,2,2,1,2,"feature 74","feature 196",3,0.707106781186548
"2287","location 697","0","severity_type 2",1,1,1,1,1,"feature 51","feature 51",1,NA
"2290","location 1052","2","severity_type 2",1,2,12,4,1,"feature 82","feature 203",16,5.65685424949238
"2292","location 773","0","severity_type 1",2,4,4,1,1,"feature 203","feature 71",9,1.25830573921179
"2298","location 684","1","severity_type 2",1,2,4,2,1,"feature 82","feature 203",6,1.4142135623731
"2299","location 382","0","severity_type 2",2,2,3,2,1,"feature 312","feature 232",5,0.707106781186548
"2300","location 445","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"2302","location 644","0","severity_type 1",2,4,143,1,1,"feature 285","feature 369",288,81.9837382249269
"2304","location 292","0","severity_type 2",2,3,1,1,1,"feature 233","feature 233",3,0
"2305","location 79","1","severity_type 1",5,7,1,1,3,"feature 219","feature 219",7,0
"2306","location 485","0","severity_type 2",2,3,7,2,1,"feature 312","feature 235",13,2.51661147842358
"2307","location 520","0","severity_type 2",2,2,12,11,1,"feature 312","feature 232",23,0.707106781186548
"2308","location 885","2","severity_type 2",1,3,6,1,1,"feature 202","feature 68",11,2.51661147842358
"2309","location 292","0","severity_type 2",2,4,10,1,1,"feature 312","feature 233",18,4.04145188432738
"2311","location 494","0","severity_type 1",5,10,5,1,2,"feature 313","feature 117",20,1.63299316185545
"2312","location 592","1","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"2314","location 767","1","severity_type 1",3,2,3,1,3,"feature 209","feature 273",4,1.4142135623731
"2318","location 304","0","severity_type 1",4,5,1,1,2,"feature 307","feature 307",5,0
"2319","location 272","0","severity_type 1",3,4,3,2,2,"feature 160","feature 94",9,0.5
"2320","location 715","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"2323","location 485","0","severity_type 2",2,4,11,1,1,"feature 312","feature 230",21,4.3493294502333
"2327","location 936","2","severity_type 1",1,1,2,2,1,"feature 75","feature 75",2,NA
"2334","location 476","0","severity_type 2",2,7,87,1,1,"feature 314","feature 232",276,35.5098913114696
"2335","location 147","0","severity_type 2",2,2,10,6,1,"feature 312","feature 232",16,2.82842712474619
"2338","location 466","0","severity_type 2",2,2,2,1,1,"feature 234","feature 314",3,0.707106781186548
"2340","location 976","2","severity_type 2",1,3,58,4,1,"feature 82","feature 203",68,30.6159000085468
"2341","location 549","1","severity_type 1",1,1,1,1,1,"feature 359","feature 359",1,NA
"2342","location 9","0","severity_type 1",2,1,4,4,2,"feature 71","feature 71",4,NA
"2348","location 615","0","severity_type 2",1,1,2,2,1,"feature 55","feature 55",2,NA
"2352","location 476","0","severity_type 1",1,1,1,1,1,"feature 160","feature 160",1,NA
"2354","location 686","0","severity_type 1",1,2,1,1,1,"feature 54","feature 54",2,0
"2355","location 877","1","severity_type 1",2,4,2,2,1,"feature 132","feature 132",8,0
"2361","location 821","2","severity_type 1",2,5,24,1,1,"feature 82","feature 80",45,9.35414346693485
"2363","location 891","0","severity_type 1",1,2,6,3,1,"feature 73","feature 195",9,2.12132034355964
"2364","location 118","0","severity_type 2",2,3,17,1,1,"feature 312","feature 307",33,8.71779788708135
"2368","location 494","0","severity_type 1",3,6,1,1,2,"feature 134","feature 134",6,0
"2370","location 124","0","severity_type 2",2,6,3,1,1,"feature 232","feature 315",14,0.816496580927726
"2372","location 831","1","severity_type 1",1,2,1,1,1,"feature 68","feature 68",2,0
"2375","location 1069","1","severity_type 1",1,4,19,1,1,"feature 170","feature 207",40,10.3923048454133
"2377","location 734","0","severity_type 1",2,2,5,2,1,"feature 71","feature 193",7,2.12132034355964
"2380","location 821","1","severity_type 1",2,3,13,3,1,"feature 82","feature 71",21,5.29150262212918
"2381","location 962","1","severity_type 2",1,2,18,2,1,"feature 82","feature 203",20,11.3137084989848
"2382","location 856","1","severity_type 1",2,3,2,1,2,"feature 68","feature 179",5,0.577350269189626
"2383","location 925","0","severity_type 1",1,6,85,1,1,"feature 54","feature 182",136,33.4225472797432
"2387","location 118","0","severity_type 2",2,2,13,6,1,"feature 312","feature 232",19,4.94974746830583
"2388","location 744","2","severity_type 1",2,6,2,1,2,"feature 179","feature 170",10,0.516397779494322
"2392","location 734","0","severity_type 1",3,6,12,1,2,"feature 82","feature 172",28,4.17931413830866
"2396","location 9","0","severity_type 2",1,4,1,1,1,"feature 193","feature 193",4,0
"2397","location 104","0","severity_type 2",3,7,2,1,2,"feature 227","feature 181",9,0.487950036474267
"2398","location 126","0","severity_type 2",2,6,5,1,1,"feature 312","feature 315",19,1.83484785926972
"2402","location 760","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"2405","location 1063","0","severity_type 1",1,2,5,3,1,"feature 195","feature 73",8,1.4142135623731
"2406","location 810","2","severity_type 1",3,4,39,5,1,"feature 82","feature 71",58,16.3605215890774
"2409","location 912","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"2410","location 50","0","severity_type 1",1,2,4,1,1,"feature 134","feature 219",5,2.12132034355964
"2415","location 290","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"2416","location 358","0","severity_type 2",2,6,1,1,1,"feature 314","feature 314",6,0
"2424","location 1072","0","severity_type 2",1,1,1,1,1,"feature 81","feature 81",1,NA
"2425","location 1008","1","severity_type 1",2,5,7,1,1,"feature 80","feature 183",13,2.50998007960223
"2431","location 961","0","severity_type 1",2,4,2,1,1,"feature 280","feature 68",5,0.5
"2432","location 923","0","severity_type 1",1,2,2,2,1,"feature 73","feature 73",4,0
"2433","location 294","0","severity_type 4",1,2,1,1,1,"feature 312","feature 312",2,0
"2434","location 810","2","severity_type 2",2,4,24,2,1,"feature 82","feature 193",50,11.1205515450749
"2435","location 738","1","severity_type 1",1,2,1,1,1,"feature 198","feature 198",2,0
"2437","location 102","0","severity_type 2",2,15,7,1,1,"feature 312","feature 308",34,2.01659779496722
"2439","location 661","0","severity_type 4",1,1,1,1,1,"feature 306","feature 306",1,NA
"2440","location 1075","2","severity_type 2",1,2,20,12,1,"feature 82","feature 203",32,5.65685424949238
"2444","location 508","0","severity_type 2",2,2,21,7,1,"feature 312","feature 232",28,9.89949493661167
"2445","location 266","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"2449","location 806","0","severity_type 1",1,2,4,4,1,"feature 318","feature 318",8,0
"2450","location 894","0","severity_type 1",3,6,8,2,1,"feature 368","feature 290",34,2.33809038890002
"2452","location 116","1","severity_type 1",3,5,1,1,2,"feature 312","feature 312",5,0
"2458","location 1100","1","severity_type 1",2,3,124,1,1,"feature 82","feature 80",150,65.1996932508122
"2460","location 445","0","severity_type 2",2,2,7,5,1,"feature 232","feature 312",12,1.4142135623731
"2461","location 496","0","severity_type 2",2,5,3,1,1,"feature 312","feature 232",9,1.09544511501033
"2464","location 7","0","severity_type 1",1,2,19,18,1,"feature 70","feature 191",37,0.707106781186548
"2465","location 1052","2","severity_type 1",2,4,24,8,1,"feature 82","feature 80",59,6.9940450861191
"2466","location 242","0","severity_type 4",1,1,2,2,1,"feature 312","feature 312",2,NA
"2471","location 989","1","severity_type 1",1,1,2,2,1,"feature 170","feature 170",2,NA
